timestamp,activePower,currentR,currentS,currentT,voltageR,voltageS,voltageT,powerFactorR,powerFactorS,powerFactorT,hour,dayofweek,module(equipment)_1(PM-3),module(equipment)_11(우측분전반1),module(equipment)_12(4호기),module(equipment)_13(3호기),module(equipment)_14(2호기),module(equipment)_15(예비건조기),module(equipment)_16(호이스트),module(equipment)_17(6호기),module(equipment)_18(우측분전반2),module(equipment)_2(L-1전등),module(equipment)_3(분쇄기(2)),module(equipment)_4(분쇄기(1)),module(equipment)_5(좌측분전반),iforest_pred,iforest_anomaly,iforest_score,module(equipment)
2024-12-02 00:42:30,3500.74,13.68,24.23,22.82,219.67,219.72,210.25,85.14,99.12,89.51,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.007242850097504638,1(PM-3)
2024-12-02 21:14:05,4447.28,25.84,29.57,21.73,216.92,219.88,210.35,95.02,99.25,91.95,21,0,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.0010317251117911153,1(PM-3)
2024-12-09 15:21:20,3733.07,6.48,29.58,28.83,218.28,218.87,211.95,97.34,99.51,97.15,15,0,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.0002749607744441662,1(PM-3)
2024-12-10 00:25:25,4362.32,22.14,29.63,23.83,210.64,218.06,219.62,86.74,86.01,98.61,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.0037188346905485115,1(PM-3)
2024-12-10 02:52:35,1018.44,6.72,5.07,5.95,219.05,214.42,211.64,89.41,97.64,89.79,2,1,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.0027811148172322553,1(PM-3)
2024-12-10 12:28:40,4236.97,16.43,27.6,29.96,219.21,210.02,216.71,86.41,87.15,99.68,12,1,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.0036001468897208233,1(PM-3)
2024-12-14 00:11:45,4667.11,26.74,28.89,27.4,210.79,210.39,211.2,94.48,89.59,90.41,0,5,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.00017599073038304658,1(PM-3)
2024-12-15 21:56:10,4432.08,28.18,28.94,20.9,218.11,210.27,210.03,98.59,85.2,88.88,21,6,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.01894595008436145,1(PM-3)
2024-12-16 19:51:30,3986.87,29.48,12.52,27.24,219.71,219.83,210.03,99.32,87.48,90.98,19,0,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.0042695228574152755,1(PM-3)
2024-12-16 23:15:55,2165.33,26.48,5.29,5.49,219.76,212.76,213.81,96.98,88.59,99.29,23,0,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.005122527849582614,1(PM-3)
2024-12-17 13:00:20,1262.75,6.73,8.19,6.72,219.56,219.89,216.75,95.82,89.77,99.5,13,1,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.0002923309533098273,1(PM-3)
2024-12-22 00:26:00,2589.17,27.37,8.09,10.35,210.23,210.91,217.21,99.82,98.87,86.77,0,6,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.0015735892385442818,1(PM-3)
2024-12-23 01:10:35,1302.08,6.14,6.11,10.44,210.82,212.97,219.15,97.18,96.08,98.16,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.0008498104843085441,1(PM-3)
2024-12-24 16:05:55,1052.19,6.01,6.75,5.23,219.7,219.8,218.64,88.81,89.14,94.86,16,1,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,1,-0.00930376906035596,1(PM-3)
